Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  1.45      0.65     0.01   600000     0.02     0.02  std::_Vector_base<double, std::allocator<double> >::_Vector_base()
  1.45      0.66     0.01   600000     0.02     0.07  double std::accumulate<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double)
  1.45      0.67     0.01      600    16.67    16.67  int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*)
  0.72      0.68     0.01  4801052     0.00     0.00  __gnu_cxx::new_allocator<double>::max_size() const
  0.72      0.68     0.01  2402100     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::base() const
  0.72      0.69     0.01  1200000     0.00     0.00  std::back_insert_iterator<std::vector<double, std::allocator<double> > >::operator++()
  0.72      0.69     0.01      600     8.34    25.01  int* std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      0.69     0.00  8401052     0.00     0.00  double* std::__niter_base<double*>(double*)
  0.00      0.69     0.00  6602104     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator()
  0.00      0.69     0.00  4800000     0.00     0.00  std::move_iterator<double*>::base() const
  0.00      0.69     0.00  4800000     0.00     0.00  std::move_iterator<double*>::move_iterator(double*)
  0.00      0.69     0.00  4800000     0.00     0.00  decltype (__miter_base(({parm#1}.base)())) std::__miter_base<double*>(std::move_iterator<double*>)
  0.00      0.69     0.00  4800000     0.00     0.00  double* std::__miter_base<double*>(double*)
  0.00      0.69     0.00  4800000     0.00     0.00  double&& std::forward<double>(std::remove_reference<double>::type&)
  0.00      0.69     0.00  3601050     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator() const
  0.00      0.69     0.00  3002104     0.00     0.00  __gnu_cxx::new_allocator<double>::~new_allocator()
  0.00      0.69     0.00  3001052     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_deallocate(double*, unsigned long)
  0.00      0.69     0.00  3001052     0.00     0.00  void std::_Destroy<double*>(double*, double*)
  0.00      0.69     0.00  3001052     0.00     0.00  void std::_Destroy<double*, double>(double*, double*, std::allocator<double>&)
  0.00      0.69     0.00  2402102     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator(__gnu_cxx::new_allocator<double> const&)
  0.00      0.69     0.00  2402102     0.00     0.00  std::allocator<double>::allocator(std::allocator<double> const&)
  0.00      0.69     0.00  2402100     0.00     0.00  double const* std::__niter_base<double const*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >)
  0.00      0.69     0.00  2401052     0.00     0.00  __gnu_cxx::new_allocator<double>::deallocate(double*, unsigned long)
  0.00      0.69     0.00  2401052     0.00     0.01  std::_Vector_base<double, std::allocator<double> >::_M_allocate(unsigned long)
  0.00      0.69     0.00  2401052     0.00     0.01  std::allocator_traits<std::allocator<double> >::allocate(std::allocator<double>&, unsigned long)
  0.00      0.69     0.00  2400000     0.00     0.01  std::vector<double, std::allocator<double> >::max_size() const
  0.00      0.69     0.00  2400000     0.00     0.00  double* std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<double>(double const*, double const*, double*)
  0.00      0.69     0.00  2400000     0.00     0.01  double* std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<double*>, double*>(std::move_iterator<double*>, std::move_iterator<double*>, double*)
  0.00      0.69     0.00  2400000     0.00     0.00  double* std::__copy_move_a2<true, double*, double*>(double*, double*, double*)
  0.00      0.69     0.00  2400000     0.00     0.01  double* std::uninitialized_copy<std::move_iterator<double*>, double*>(std::move_iterator<double*>, std::move_iterator<double*>, double*)
  0.00      0.69     0.00  2400000     0.00     0.00  std::remove_reference<double&>::type&& std::move<double&>(double&)
  0.00      0.69     0.00  1801052     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::~_Vector_impl()
  0.00      0.69     0.00  1801052     0.00     0.01  std::_Vector_base<double, std::allocator<double> >::~_Vector_base()
  0.00      0.69     0.00  1201052     0.00     0.02  std::_Vector_base<double, std::allocator<double> >::_Vector_base(unsigned long, std::allocator<double> const&)
  0.00      0.69     0.00  1201050     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<double> >::_S_select_on_copy(std::allocator<double> const&)
  0.00      0.69     0.00  1201050     0.00     0.00  std::vector<double, std::allocator<double> >::end() const
  0.00      0.69     0.00  1201050     0.00     0.00  std::vector<double, std::allocator<double> >::begin() const
  0.00      0.69     0.00  1201050     0.00     0.00  std::allocator_traits<std::allocator<double> >::select_on_container_copy_construction(std::allocator<double> const&)
  0.00      0.69     0.00  1201050     0.00     0.05  double* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*)
  0.00      0.69     0.00  1201050     0.00     0.11  std::vector<double, std::allocator<double> >::vector(std::vector<double, std::allocator<double> > const&)
  0.00      0.69     0.00  1201050     0.00     0.02  double* std::__copy_move_a<false, double const*, double*>(double const*, double const*, double*)
  0.00      0.69     0.00  1201050     0.00     0.05  double* std::copy<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*)
  0.00      0.69     0.00  1201050     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.69     0.00  1200000     0.00     0.00  void __gnu_cxx::new_allocator<double>::construct<double, double>(double*, double&&)
  0.00      0.69     0.00  1200000     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::difference_type __gnu_cxx::operator-<double*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&)
  0.00      0.69     0.00  1200000     0.00     0.02  std::vector<double, std::allocator<double> >::_M_check_len(unsigned long, char const*) const
  0.00      0.69     0.00  1200000     0.00     0.00  void std::allocator_traits<std::allocator<double> >::construct<double, double>(std::allocator<double>&, double*, double&&)
  0.00      0.69     0.00  1200000     0.00     0.26  void std::vector<double, std::allocator<double> >::emplace_back<double>(double&&)
  0.00      0.69     0.00  1200000     0.00     0.26  std::vector<double, std::allocator<double> >::push_back(double&&)
  0.00      0.69     0.00  1200000     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.69     0.00   648411     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.00      0.69     0.00   602100     0.00     0.00  std::vector<double, std::allocator<double> >* std::__addressof<std::vector<double, std::allocator<double> > >(std::vector<double, std::allocator<double> >&)
  0.00      0.69     0.00   600002     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator()
  0.00      0.69     0.00   600002     0.00     0.00  std::allocator<double>::allocator()
  0.00      0.69     0.00   600000     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl()
  0.00      0.69     0.00   600000     0.00     0.00  std::back_insert_iterator<std::vector<double, std::allocator<double> > >::back_insert_iterator(std::vector<double, std::allocator<double> >&)
  0.00      0.69     0.00   600000     0.00     0.02  std::vector<double, std::allocator<double> >::vector()
  0.00      0.69     0.00   600000     0.00     0.00  std::back_insert_iterator<std::vector<double, std::allocator<double> > > std::back_inserter<std::vector<double, std::allocator<double> > >(std::vector<double, std::allocator<double> >&)
  0.00      0.69     0.00    29500     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  0.00      0.69     0.00     3954     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.69     0.00     3900     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&)
  0.00      0.69     0.00     3124     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.69     0.00     2970     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      0.69     0.00     2862     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  0.00      0.69     0.00     2754     0.00     0.00  bool __gnu_cxx::operator!=<int const*, int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      0.69     0.00     2700     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::operator++(int)
  0.00      0.69     0.00     2700     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::operator*() const
  0.00      0.69     0.00     2547     0.00     0.00  bool __gnu_cxx::__ops::_Iter_equals_val<int const>::operator()<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
  0.00      0.69     0.00     2547     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator*() const
  0.00      0.69     0.00     2543     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator++()
  0.00      0.69     0.00     1204     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      0.69     0.00     1204     0.00     0.00  std::allocator<int>::~allocator()
  0.00      0.69     0.00     1204     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.69     0.00     1202     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator(__gnu_cxx::new_allocator<int> const&)
  0.00      0.69     0.00     1202     0.00     0.00  std::allocator<int>::allocator(std::allocator<int> const&)
  0.00      0.69     0.00     1200     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > std::__miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      0.69     0.00     1200     0.00     0.00  int const* std::__niter_base<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      0.69     0.00     1050     0.00     0.11  void std::_Construct<std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> > const&>(std::vector<double, std::allocator<double> >*, std::vector<double, std::allocator<double> > const&)
  0.00      0.69     0.00     1050     0.00     0.00  std::vector<double, std::allocator<double> > const& std::forward<std::vector<double, std::allocator<double> > const&>(std::remove_reference<std::vector<double, std::allocator<double> > const&>::type&)
  0.00      0.69     0.00     1050     0.00     0.02  void std::_Destroy<std::vector<double, std::allocator<double> > >(std::vector<double, std::allocator<double> >*)
  0.00      0.69     0.00      650     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      0.69     0.00      602     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.00      0.69     0.00      602     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.00      0.69     0.00      602     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00      0.69     0.00      602     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      0.69     0.00      602     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00      0.69     0.00      602     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&)
  0.00      0.69     0.00      602     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      0.69     0.00      602     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      0.69     0.00      602     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_create_storage(unsigned long)
  0.00      0.69     0.00      602     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned long, std::allocator<int> const&)
  0.00      0.69     0.00      602     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      0.69     0.00      602     0.00     0.00  std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long)
  0.00      0.69     0.00      602     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
  0.00      0.69     0.00      602     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      0.69     0.00      602     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      0.69     0.00      602     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      0.69     0.00      601     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00      0.69     0.00      600     0.00     0.00  find_indexes(std::vector<int, std::allocator<int> >, int)
  0.00      0.69     0.00      600     0.00     0.34  compute_new_center(int*, int)
  0.00      0.69     0.00      600     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<int> >::_S_select_on_copy(std::allocator<int> const&)
  0.00      0.69     0.00      600     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      0.69     0.00      600     0.00     0.00  std::vector<int, std::allocator<int> >::end() const
  0.00      0.69     0.00      600     0.00     0.00  std::vector<int, std::allocator<int> >::begin() const
  0.00      0.69     0.00      600     0.00     0.00  std::allocator_traits<std::allocator<int> >::select_on_container_copy_construction(std::allocator<int> const&)
  0.00      0.69     0.00      600     0.00    25.01  int* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      0.69     0.00      600     0.00    25.01  std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&)
  0.00      0.69     0.00      600     0.00    16.67  int* std::__copy_move_a<false, int const*, int*>(int const*, int const*, int*)
  0.00      0.69     0.00      600     0.00    25.01  int* std::uninitialized_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      0.69     0.00      600     0.00    25.01  int* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, int>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, std::allocator<int>&)
  0.00      0.69     0.00      600     0.00    25.01  int* std::copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      0.69     0.00      108     0.00     0.00  std::vector<int, std::allocator<int> >::begin()
  0.00      0.69     0.00      108     0.00     0.00  decltype (({parm#1}.end)()) std::end<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&)
  0.00      0.69     0.00      104     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
