Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.94      0.92     0.01  1500000     0.00     0.00  std::vector<double, std::allocator<double> >::push_back(double&&)
  0.94      0.93     0.01  1500000     0.00     0.00  __gnu_cxx::__promote_2<double, int, __gnu_cxx::__promote<double, std::__is_integer<double>::__value>::__type, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type>::__type std::pow<double, int>(double, int)
  0.94      0.94     0.01   752100     0.00     0.00  std::vector<double, std::allocator<double> >* std::__addressof<std::vector<double, std::allocator<double> > >(std::vector<double, std::allocator<double> >&)
  0.94      0.95     0.01   750002     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator()
  0.94      0.96     0.01   750000     0.00     0.00  vectors_distance(std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> >)
  0.94      0.97     0.01   750000     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl()
  0.94      0.98     0.01   750000     0.00     0.00  std::back_insert_iterator<std::vector<double, std::allocator<double> > >::back_insert_iterator(std::vector<double, std::allocator<double> >&)
  0.94      0.99     0.01   750000     0.00     0.00  std::back_insert_iterator<std::vector<double, std::allocator<double> > > std::transform<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, std::back_insert_iterator<std::vector<double, std::allocator<double> > >, vectors_distance(std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> >)::{lambda(double, double)#1}>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, std::back_insert_iterator<std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, vectors_distance(std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> >)::{lambda(double, double)#1}, vectors_distance(std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> >)::{lambda(double, double)#1})
  0.94      1.00     0.01     2500     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator*() const
  0.94      1.01     0.01      750     0.01     0.01  compute_new_center(int*, int)
