Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
[8]     48.7    0.67    4.40 1309596         void std::vector<double, std::allocator<double> >::_M_realloc_insert<double>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double&&) [8]
                0.18    1.94 2801986/2801986     double* std::__uninitialized_move_if_noexcept_a<double*, double*, std::allocator<double> >(double*, double*, double*, std::allocator<double>&) [10]
                0.16    0.53 1281631/1281631     std::vector<double, std::allocator<double> >::_M_check_len(unsigned long, char const*) const [18]
                0.16    0.17 3452233/5082382     std::_Vector_base<double, std::allocator<double> >::_M_deallocate(double*, unsigned long) [24]
                0.06    0.23 1665565/2776705     std::_Vector_base<double, std::allocator<double> >::_M_allocate(unsigned long) [25]
                0.08    0.18 11114680/14554963     void std::_Destroy<double*, double>(double*, double*, std::allocator<double>&) [31]
                0.07    0.16 10796521/10796521     void std::allocator_traits<std::allocator<double> >::construct<double, double>(std::allocator<double>&, double*, double&&) [42]
                0.08    0.05 1832741/4093467     std::vector<double, std::allocator<double> >::begin() [33]
                0.09    0.02 1977610/1977610     __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::difference_type __gnu_cxx::operator-<double*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&) [68]
                0.11    0.00 13537432/24105944     __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::base() const [50]
                0.08    0.00 4462587/8860965     std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator() [56]
                0.05    0.00 1718689/6323839     double&& std::forward<double>(std::remove_reference<double>::type&) [51]
-----------------------------------------------
                0.00    0.00   10100/5217574     void std::_Construct<std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> > const&>(std::vector<double, std::allocator<double> >*, std::vector<double, std::allocator<double> > const&) [125]
                0.15    2.00 5207474/5217574     _GLOBAL__sub_I_V [1]
[9]     20.7    0.15    2.01 5217574         std::vector<double, std::allocator<double> >::vector(std::vector<double, std::allocator<double> > const&) [9]
                0.07    0.67 1941585/1941585     double* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*, double>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*, std::allocator<double>&) [16]
                0.11    0.61 1157190/1157192     std::_Vector_base<double, std::allocator<double> >::_Vector_base(unsigned long, std::allocator<double> const&) [17]
                0.05    0.10 2768130/2768130     __gnu_cxx::__alloc_traits<std::allocator<double> >::_S_select_on_copy(std::allocator<double> const&) [58]
                0.08    0.05 2392783/2392783     std::vector<double, std::allocator<double> >::begin() const [64]
                0.07    0.05 3058966/3058966     std::vector<double, std::allocator<double> >::end() const [65]
                0.07    0.00 2098540/7301606     std::vector<double, std::allocator<double> >::size() const [38]
                0.03    0.00 1758344/8860965     std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator() [56]
                0.03    0.00 2063693/4436082     std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator() const [82]
                0.02    0.00 1751500/16623022     std::allocator<double>::~allocator() [53]
-----------------------------------------------
                0.18    1.94 2801986/2801986     void std::vector<double, std::allocator<double> >::_M_realloc_insert<double>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double&&) [8]
[10]    20.3    0.18    1.94 2801986         double* std::__uninitialized_move_if_noexcept_a<double*, double*, std::allocator<double> >(double*, double*, double*, std::allocator<double>&) [10]
                0.15    1.41 3427118/3427118     double* std::__uninitialized_copy_a<std::move_iterator<double*>, double*, double>(std::move_iterator<double*>, std::move_iterator<double*>, double*, std::allocator<double>&) [11]
                0.23    0.15 6644608/6644608     std::move_iterator<double*> std::__make_move_if_noexcept_iterator<double, std::move_iterator<double*> >(double*) [30]
-----------------------------------------------
                0.15    1.41 3427118/3427118     double* std::__uninitialized_move_if_noexcept_a<double*, double*, std::allocator<double> >(double*, double*, double*, std::allocator<double>&) [10]
[11]    15.0    0.15    1.41 3427118         double* std::__uninitialized_copy_a<std::move_iterator<double*>, double*, double>(std::move_iterator<double*>, std::move_iterator<double*>, double*, std::allocator<double>&) [11]
                0.09    1.33 2127513/2127513     double* std::uninitialized_copy<std::move_iterator<double*>, double*>(std::move_iterator<double*>, std::move_iterator<double*>, double*) [12]
-----------------------------------------------
                0.09    1.33 2127513/2127513     double* std::__uninitialized_copy_a<std::move_iterator<double*>, double*, double>(std::move_iterator<double*>, std::move_iterator<double*>, double*, std::allocator<double>&) [11]
[12]    13.6    0.09    1.33 2127513         double* std::uninitialized_copy<std::move_iterator<double*>, double*>(std::move_iterator<double*>, std::move_iterator<double*>, double*) [12]
                0.11    1.22 2680104/2680104     double* std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<double*>, double*>(std::move_iterator<double*>, std::move_iterator<double*>, double*) [13]
-----------------------------------------------
                0.11    1.22 2680104/2680104     double* std::uninitialized_copy<std::move_iterator<double*>, double*>(std::move_iterator<double*>, std::move_iterator<double*>, double*) [12]
[13]    12.7    0.11    1.22 2680104         double* std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<double*>, double*>(std::move_iterator<double*>, std::move_iterator<double*>, double*) [13]
                0.17    1.05 2052269/2052269     double* std::copy<std::move_iterator<double*>, double*>(std::move_iterator<double*>, std::move_iterator<double*>, double*) [14]
-----------------------------------------------
                0.17    1.05 2052269/2052269     double* std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<double*>, double*>(std::move_iterator<double*>, std::move_iterator<double*>, double*) [13]
[14]    11.7    0.17    1.05 2052269         double* std::copy<std::move_iterator<double*>, double*>(std::move_iterator<double*>, std::move_iterator<double*>, double*) [14]
                0.13    0.45 3112618/3112618     double* std::__copy_move_a2<true, double*, double*>(double*, double*, double*) [21]
                0.20    0.27 5963749/5963749     decltype (__miter_base(({parm#1}.base)())) std::__miter_base<double*>(std::move_iterator<double*>) [27]
-----------------------------------------------
                0.00    0.00       2/4842134     __static_initialization_and_destruction_0(int, int) [67]
                0.00    0.00   10100/4842134     void std::_Destroy<std::vector<double, std::allocator<double> > >(std::vector<double, std::allocator<double> >*) [114]
                0.02    0.11  831204/4842134     vectors_distance(std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> >) [3]
                0.08    0.54 4000828/4842134     _GLOBAL__sub_I_V [1]
[15]     7.2    0.10    0.65 4842134         std::vector<double, std::allocator<double> >::~vector() [15]
                0.19    0.34 2938424/2938424     std::_Vector_base<double, std::allocator<double> >::~_Vector_base() [23]
                0.03    0.06 3440283/14554963     void std::_Destroy<double*, double>(double*, double*, std::allocator<double>&) [31]
                0.05    0.00 2640032/8860965     std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator() [56]
-----------------------------------------------
                0.07    0.67 1941585/1941585     std::vector<double, std::allocator<double> >::vector(std::vector<double, std::allocator<double> > const&) [9]
[16]     7.1    0.07    0.67 1941585         double* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*, double>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*, std::allocator<double>&) [16]
                0.08    0.59 1353564/1353564     double* std::uninitialized_copy<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*) [19]
-----------------------------------------------
                0.00    0.00       2/1157192     std::vector<double, std::allocator<double> >::vector(unsigned long, double const&, std::allocator<double> const&) [84]
                0.11    0.61 1157190/1157192     std::vector<double, std::allocator<double> >::vector(std::vector<double, std::allocator<double> > const&) [9]
[17]     6.9    0.11    0.61 1157192         std::_Vector_base<double, std::allocator<double> >::_Vector_base(unsigned long, std::allocator<double> const&) [17]
                0.28    0.19 1420607/1420607     std::_Vector_base<double, std::allocator<double> >::_M_create_storage(unsigned long) [26]
                0.09    0.05 1210767/1210767     std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl(std::allocator<double> const&) [60]
-----------------------------------------------
                0.16    0.53 1281631/1281631     void std::vector<double, std::allocator<double> >::_M_realloc_insert<double>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double&&) [8]
[18]     6.6    0.16    0.53 1281631         std::vector<double, std::allocator<double> >::_M_check_len(unsigned long, char const*) const [18]
                0.11    0.23 2905627/2905627     std::vector<double, std::allocator<double> >::max_size() const [32]
                0.17    0.00 5203066/7301606     std::vector<double, std::allocator<double> >::size() const [38]
                0.03    0.00 1416223/1416223     unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&) [100]
-----------------------------------------------
                0.08    0.59 1353564/1353564     double* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*, double>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*, std::allocator<double>&) [16]
[19]     6.5    0.08    0.59 1353564         double* std::uninitialized_copy<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*) [19]
                0.06    0.54 1568560/1568560     double* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*) [20]
-----------------------------------------------
                0.06    0.54 1568560/1568560     double* std::uninitialized_copy<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*) [19]
[20]     5.7    0.06    0.54 1568560         double* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*) [20]
                0.08    0.46 1157067/1157067     double* std::copy<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*) [22]
-----------------------------------------------
                0.13    0.45 3112618/3112618     double* std::copy<std::move_iterator<double*>, double*>(std::move_iterator<double*>, std::move_iterator<double*>, double*) [14]
[21]     5.5    0.13    0.45 3112618         double* std::__copy_move_a2<true, double*, double*>(double*, double*, double*) [21]
                0.14    0.10 2668031/2668031     double* std::__copy_move_a<true, double*, double*>(double*, double*, double*) [37]
                0.21    0.00 9708269/10815743     double* std::__niter_base<double*>(double*) [40]
-----------------------------------------------
                0.08    0.46 1157067/1157067     double* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*) [20]
[22]     5.2    0.08    0.46 1157067         double* std::copy<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*) [22]
                0.07    0.37 1104142/1104142     double* std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*) [28]
                0.02    0.00 2648859/2648859     __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > std::__miter_base<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >) [106]
-----------------------------------------------
                0.19    0.34 2938424/2938424     std::vector<double, std::allocator<double> >::~vector() [15]
[23]     5.0    0.19    0.34 2938424         std::_Vector_base<double, std::allocator<double> >::~_Vector_base() [23]
                0.02    0.16 2130573/2130573     std::_Vector_base<double, std::allocator<double> >::_Vector_impl::~_Vector_impl() [52]
                0.07    0.08 1630149/5082382     std::_Vector_base<double, std::allocator<double> >::_M_deallocate(double*, unsigned long) [24]
-----------------------------------------------
                0.07    0.08 1630149/5082382     std::_Vector_base<double, std::allocator<double> >::~_Vector_base() [23]
                0.16    0.17 3452233/5082382     void std::vector<double, std::allocator<double> >::_M_realloc_insert<double>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double&&) [8]
[24]     4.7    0.23    0.26 5082382         std::_Vector_base<double, std::allocator<double> >::_M_deallocate(double*, unsigned long) [24]
                0.15    0.11 3222846/3222846     std::allocator_traits<std::allocator<double> >::deallocate(std::allocator<double>&, double*, unsigned long) [35]
-----------------------------------------------
                0.04    0.15 1111140/2776705     std::_Vector_base<double, std::allocator<double> >::_M_create_storage(unsigned long) [26]
                0.06    0.23 1665565/2776705     void std::vector<double, std::allocator<double> >::_M_realloc_insert<double>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double&&) [8]
[25]     4.7    0.11    0.38 2776705         std::_Vector_base<double, std::allocator<double> >::_M_allocate(unsigned long) [25]
                0.15    0.23 3274869/3274869     std::allocator_traits<std::allocator<double> >::allocate(std::allocator<double>&, unsigned long) [29]
-----------------------------------------------
                0.28    0.19 1420607/1420607     std::_Vector_base<double, std::allocator<double> >::_Vector_base(unsigned long, std::allocator<double> const&) [17]
[26]     4.6    0.28    0.19 1420607         std::_Vector_base<double, std::allocator<double> >::_M_create_storage(unsigned long) [26]
                0.04    0.15 1111140/2776705     std::_Vector_base<double, std::allocator<double> >::_M_allocate(unsigned long) [25]
-----------------------------------------------
                0.20    0.27 5963749/5963749     double* std::copy<std::move_iterator<double*>, double*>(std::move_iterator<double*>, std::move_iterator<double*>, double*) [14]
[27]     4.5    0.20    0.27 5963749         decltype (__miter_base(({parm#1}.base)())) std::__miter_base<double*>(std::move_iterator<double*>) [27]
                0.21    0.00 4569794/4569794     double* std::__miter_base<double*>(double*) [45]
                0.07    0.00 4361233/4361233     std::move_iterator<double*>::base() const [81]
-----------------------------------------------
                0.07    0.37 1104142/1104142     double* std::copy<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*) [22]
[28]     4.2    0.07    0.37 1104142         double* std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*) [28]
                0.12    0.09 3291819/3291819     double const* std::__niter_base<double const*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >) [46]
                0.08    0.07 1533688/1533688     double* std::__copy_move_a<false, double const*, double*>(double const*, double const*, double*) [59]
                0.02    0.00 1107472/10815743     double* std::__niter_base<double*>(double*) [40]
-----------------------------------------------
                0.15    0.23 3274869/3274869     std::_Vector_base<double, std::allocator<double> >::_M_allocate(unsigned long) [25]
[29]     3.6    0.15    0.23 3274869         std::allocator_traits<std::allocator<double> >::allocate(std::allocator<double>&, unsigned long) [29]
                0.09    0.14 3075759/3075759     __gnu_cxx::new_allocator<double>::allocate(unsigned long, void const*) [41]
-----------------------------------------------
                0.23    0.15 6644608/6644608     double* std::__uninitialized_move_if_noexcept_a<double*, double*, std::allocator<double> >(double*, double*, double*, std::allocator<double>&) [10]
[30]     3.6    0.23    0.15 6644608         std::move_iterator<double*> std::__make_move_if_noexcept_iterator<double, std::move_iterator<double*> >(double*) [30]
                0.15    0.00 4868880/4868880     std::move_iterator<double*>::move_iterator(double*) [57]
-----------------------------------------------
                0.03    0.06 3440283/14554963     std::vector<double, std::allocator<double> >::~vector() [15]
                0.08    0.18 11114680/14554963     void std::vector<double, std::allocator<double> >::_M_realloc_insert<double>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double&&) [8]
[31]     3.3    0.11    0.24 14554963         void std::_Destroy<double*, double>(double*, double*, std::allocator<double>&) [31]
                0.10    0.14 3569737/3569737     void std::_Destroy<double*>(double*, double*) [39]
-----------------------------------------------
                0.11    0.23 2905627/2905627     std::vector<double, std::allocator<double> >::_M_check_len(unsigned long, char const*) const [18]
[32]     3.2    0.11    0.23 2905627         std::vector<double, std::allocator<double> >::max_size() const [32]
                0.12    0.08 2927196/2927196     std::allocator_traits<std::allocator<double> >::max_size(std::allocator<double> const&) [48]
                0.03    0.00 2372389/4436082     std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator() const [82]
-----------------------------------------------
                0.08    0.05 1832741/4093467     void std::vector<double, std::allocator<double> >::_M_realloc_insert<double>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double&&) [8]
                0.10    0.06 2260726/4093467     vectors_distance(std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> >) [3]
[33]     2.7    0.18    0.11 4093467         std::vector<double, std::allocator<double> >::begin() [33]
                0.11    0.00 2981363/5612453     __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::__normal_iterator(double* const&) [47]
-----------------------------------------------
                0.07    0.02 1621986/5081588     double std::accumulate<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double) [55]
                0.14    0.04 3459602/5081588     std::back_insert_iterator<std::vector<double, std::allocator<double> > > std::transform<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, std::back_insert_iterator<std::vector<double, std::allocator<double> > >, vectors_distance(std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> >)::{lambda(double, double)#1}>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, std::back_insert_iterator<std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, vectors_distance(std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> >)::{lambda(double, double)#1}, vectors_distance(std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> >)::{lambda(double, double)#1}) [4]
[34]     2.6    0.21    0.06 5081588         bool __gnu_cxx::operator!=<double*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&) [34]
                0.06    0.00 7560486/24105944     __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::base() const [50]
-----------------------------------------------
                0.15    0.11 3222846/3222846     std::_Vector_base<double, std::allocator<double> >::_M_deallocate(double*, unsigned long) [24]
[35]     2.4    0.15    0.11 3222846         std::allocator_traits<std::allocator<double> >::deallocate(std::allocator<double>&, double*, unsigned long) [35]
                0.11    0.00 3207878/3207878     __gnu_cxx::new_allocator<double>::deallocate(double*, unsigned long) [73]
-----------------------------------------------
                0.07    0.04 1059054/2546047     void std::vector<double, std::allocator<double> >::emplace_back<double>(double&&) [7]
                0.09    0.05 1486993/2546047     vectors_distance(std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> >) [3]
[36]     2.4    0.16    0.09 2546047         std::vector<double, std::allocator<double> >::end() [36]
                0.09    0.00 2631090/5612453     __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::__normal_iterator(double* const&) [47]
-----------------------------------------------
                0.14    0.10 2668031/2668031     double* std::__copy_move_a2<true, double*, double*>(double*, double*, double*) [21]
[37]     2.3    0.14    0.10 2668031         double* std::__copy_move_a<true, double*, double*>(double*, double*, double*) [37]
                0.10    0.00 2931291/2931291     double* std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<double>(double const*, double const*, double*) [76]
-----------------------------------------------
                0.07    0.00 2098540/7301606     std::vector<double, std::allocator<double> >::vector(std::vector<double, std::allocator<double> > const&) [9]
                0.17    0.00 5203066/7301606     std::vector<double, std::allocator<double> >::_M_check_len(unsigned long, char const*) const [18]
[38]     2.3    0.24    0.00 7301606         std::vector<double, std::allocator<double> >::size() const [38]
-----------------------------------------------
                0.10    0.14 3569737/3569737     void std::_Destroy<double*, double>(double*, double*, std::allocator<double>&) [31]
[39]     2.3    0.10    0.14 3569737         void std::_Destroy<double*>(double*, double*) [39]
                0.14    0.00 8468451/8468451     void std::_Destroy_aux<true>::__destroy<double*>(double*, double*) [61]
-----------------------------------------------
                0.00    0.00       2/10815743     double* std::fill_n<double*, unsigned long, double>(double*, unsigned long, double const&) [128]
                0.02    0.00 1107472/10815743     double* std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*) [28]
                0.21    0.00 9708269/10815743     double* std::__copy_move_a2<true, double*, double*>(double*, double*, double*) [21]
[40]     2.2    0.23    0.00 10815743         double* std::__niter_base<double*>(double*) [40]
-----------------------------------------------
                0.09    0.14 3075759/3075759     std::allocator_traits<std::allocator<double> >::allocate(std::allocator<double>&, unsigned long) [29]
[41]     2.2    0.09    0.14 3075759         __gnu_cxx::new_allocator<double>::allocate(unsigned long, void const*) [41]
                0.14    0.00 4829061/7418347     __gnu_cxx::new_allocator<double>::max_size() const [43]
-----------------------------------------------
                0.07    0.16 10796521/10796521     void std::vector<double, std::allocator<double> >::_M_realloc_insert<double>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double&&) [8]
[42]     2.2    0.07    0.16 10796521         void std::allocator_traits<std::allocator<double> >::construct<double, double>(std::allocator<double>&, double*, double&&) [42]
                0.05    0.06 4977830/4977830     void __gnu_cxx::new_allocator<double>::construct<double, double>(double*, double&&) [66]
                0.05    0.00 1561971/6323839     double&& std::forward<double>(std::remove_reference<double>::type&) [51]
-----------------------------------------------
                0.08    0.00 2589286/7418347     std::allocator_traits<std::allocator<double> >::max_size(std::allocator<double> const&) [48]
                0.14    0.00 4829061/7418347     __gnu_cxx::new_allocator<double>::allocate(unsigned long, void const*) [41]
[43]     2.1    0.22    0.00 7418347         __gnu_cxx::new_allocator<double>::max_size() const [43]
-----------------------------------------------
                                                 <spontaneous>
[44]     2.0    0.00    0.21                 main [44]
                0.06    0.05      14/14          find_indexes(std::vector<int, std::allocator<int> >) [72]
                0.01    0.05       1/2           std::vector<int, std::allocator<int> >::vector(unsigned long, int const&, std::allocator<int> const&) [69]
                0.01    0.04      14/14          std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&) [93]
                0.00    0.00   20400/3190221     std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::operator[](unsigned long) [105]
                0.00    0.00     100/100         std::vector<int, std::allocator<int> >::at(unsigned long) [127]
                0.00    0.00   20400/303200      std::vector<double, std::allocator<double> >::operator[](unsigned long) [136]
                0.00    0.00     200/200         decltype (({parm#1}.end)()) std::end<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&) [145]
                0.00    0.00     100/100         decltype (({parm#1}.begin)()) std::begin<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&) [154]
                0.00    0.00     100/100         __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::find<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&) [153]
                0.00    0.00     100/100         bool __gnu_cxx::operator!=<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&) [149]
                0.00    0.00      15/15          std::vector<int, std::allocator<int> >::~vector() [181]
                0.00    0.00       1/2           std::allocator<int>::allocator() [200]
                0.00    0.00       1/32          std::allocator<int>::~allocator() [158]
-----------------------------------------------
                0.21    0.00 4569794/4569794     decltype (__miter_base(({parm#1}.base)())) std::__miter_base<double*>(std::move_iterator<double*>) [27]
[45]     2.0    0.21    0.00 4569794         double* std::__miter_base<double*>(double*) [45]
-----------------------------------------------
                0.12    0.09 3291819/3291819     double* std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*) [28]
[46]     2.0    0.12    0.09 3291819         double const* std::__niter_base<double const*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >) [46]
                0.09    0.00 2006759/2006759     __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::base() const [79]
-----------------------------------------------
                0.09    0.00 2631090/5612453     std::vector<double, std::allocator<double> >::end() [36]
                0.11    0.00 2981363/5612453     std::vector<double, std::allocator<double> >::begin() [33]
[47]     1.9    0.20    0.00 5612453         __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::__normal_iterator(double* const&) [47]
-----------------------------------------------
                0.12    0.08 2927196/2927196     std::vector<double, std::allocator<double> >::max_size() const [32]
[48]     1.9    0.12    0.08 2927196         std::allocator_traits<std::allocator<double> >::max_size(std::allocator<double> const&) [48]
                0.08    0.00 2589286/7418347     __gnu_cxx::new_allocator<double>::max_size() const [43]
-----------------------------------------------
                0.03    0.00 1884217/11338403     double std::accumulate<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double) [55]
