Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.96      7.42     0.10  3472547     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::__normal_iterator(double const* const&)
  0.96      7.52     0.10  2931291     0.00     0.00  double* std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<double>(double const*, double const*, double*)
  0.96      7.62     0.10        1     0.10    10.11  _GLOBAL__sub_I_V
  0.86      7.71     0.09  1210767     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl(std::allocator<double> const&)
  0.86      7.80     0.09  3075759     0.00     0.00  __gnu_cxx::new_allocator<double>::allocate(unsigned long, void const*)
  0.86      7.89     0.09  1977610     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::difference_type __gnu_cxx::operator-<double*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&)
  0.86      7.98     0.09  1598629     0.00     0.00  std::back_insert_iterator<std::vector<double, std::allocator<double> > >::operator=(double&&)
  0.82      8.06     0.09  2127513     0.00     0.00  double* std::uninitialized_copy<std::move_iterator<double*>, double*>(std::move_iterator<double*>, std::move_iterator<double*>, double*)
  0.82      8.15     0.09  2006759     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::base() const
  0.77      8.23     0.08  3367338     0.00     0.00  std::allocator<double>::allocator(std::allocator<double> const&)
  0.77      8.31     0.08  1353564     0.00     0.00  double* std::uninitialized_copy<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*)
  0.77      8.39     0.08  1157067     0.00     0.00  double* std::copy<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*)
  0.72      8.46     0.08  1533688     0.00     0.00  double* std::__copy_move_a<false, double const*, double*>(double const*, double const*, double*)
  0.72      8.54     0.08  2392783     0.00     0.00  std::vector<double, std::allocator<double> >::begin() const
  0.67      8.61     0.07   811535     0.00     0.00  vectors_distance(std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> >)
  0.67      8.68     0.07  3058966     0.00     0.00  std::vector<double, std::allocator<double> >::end() const
  0.67      8.75     0.07  2057780     0.00     0.00  std::remove_reference<double&>::type&& std::move<double&>(double&)
  0.67      8.82     0.07  1941585     0.00     0.00  double* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*, double>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*, std::allocator<double>&)
  0.67      8.89     0.07  1918670     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl()
  0.67      8.96     0.07  1104142     0.00     0.00  double* std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*)
  0.62      9.02     0.07  4361233     0.00     0.00  std::move_iterator<double*>::base() const
  0.62      9.09     0.07 10796521     0.00     0.00  void std::allocator_traits<std::allocator<double> >::construct<double, double>(std::allocator<double>&, double*, double&&)
  0.62      9.15     0.07  4436082     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator() const
  0.62      9.22     0.07  2150428     0.00     0.00  double* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<double>(double const*, double const*, double*)
  0.58      9.28     0.06  1231111     0.00     0.00  std::back_insert_iterator<std::vector<double, std::allocator<double> > > std::back_inserter<std::vector<double, std::allocator<double> > >(std::vector<double, std::allocator<double> >&)
  0.58      9.34     0.06  1175092     0.00     0.00  void std::vector<double, std::allocator<double> >::emplace_back<double>(double&&)
  0.58      9.40     0.06        2     0.03     0.05  std::vector<int, std::allocator<int> >::_M_fill_initialize(unsigned long, int const&)
  0.53      9.45     0.06  1568560     0.00     0.00  double* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*)
  0.53      9.51     0.06       14     0.00     0.01  find_indexes(std::vector<int, std::allocator<int> >)
  0.48      9.56     0.05 14096081     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.48      9.61     0.05  4977830     0.00     0.00  void __gnu_cxx::new_allocator<double>::construct<double, double>(double*, double&&)
  0.48      9.66     0.05  2768130     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<double> >::_S_select_on_copy(std::allocator<double> const&)
  0.48      9.71     0.05  1385674     0.00     0.00  std::back_insert_iterator<std::vector<double, std::allocator<double> > >::operator++()
